POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
Unable to submit invoice,ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to submit the selected payment,ಆಯ್ಕೆಮಾಡಿದ ಪಾವತಿಯನ್ನು ಸಲ್ಲಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to top up gift card.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಅನ್ನು ಟಾಪ್ ಅಪ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.
Unable to verify cashier PIN.,ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ಪರಿಶೀಲಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.
Unallocated,ಮಂಜೂರು ಮಾಡಿಲ್ಲ
Unallocated:,ಹಂಚಿಕೆಯಾಗದ:
Unavailable,ಲಭ್ಯವಿಲ್ಲ
Unknown,ಅಜ್ಞಾತ
Unknown Item,ಅಜ್ಞಾತ ಐಟಂ
Unknown Warehouse,ಅಜ್ಞಾತ ಉಗ್ರಾಣ
Unlock POS,POS ಅನ್ನು ಅನ್ಲಾಕ್ ಮಾಡಿ
Unpaid,ಪಾವತಿಸದ
"Unselected payments stay unallocated first, then auto reconcile after submit.","ಆಯ್ಕೆ ಮಾಡದ ಪಾವತಿಗಳು ಮೊದಲು ಹಂಚಿಕೆಯಾಗದೆ ಉಳಿಯುತ್ತವೆ, ನಂತರ ಸಲ್ಲಿಸಿದ ನಂತರ ಸ್ವಯಂ ಹೊಂದಾಣಿಕೆ."
UOM,UOM
UOM not found,UOM ಕಂಡುಬಂದಿಲ್ಲ
Update available,ನವೀಕರಣ ಲಭ್ಯವಿದೆ
Update Customer,ಗ್ರಾಹಕರನ್ನು ನವೀಕರಿಸಿ
Update PIN,PIN ಅನ್ನು ನವೀಕರಿಸಿ
Update Price List Rate,ಬೆಲೆ ಪಟ್ಟಿ ದರವನ್ನು ನವೀಕರಿಸಿ
Updated,ನವೀಕರಿಸಲಾಗಿದೆ
Updates and app info that stay out of the cashier flow.,ಕ್ಯಾಷಿಯರ್ ಹರಿವಿನಿಂದ ಹೊರಗಿರುವ ನವೀಕರಣಗಳು ಮತ್ತು ಅಪ್ಲಿಕೇಶನ್ ಮಾಹಿತಿ.
Updates automatically,ಸ್ವಯಂಚಾಲಿತವಾಗಿ ನವೀಕರಣಗಳು
Usage,ಬಳಕೆ
Usage Stats,ಬಳಕೆಯ ಅಂಕಿಅಂಶಗಳು
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,ಕ್ಯಾಷಿಯರ್ ಸ್ವಿಚಿಂಗ್ ಮತ್ತು ಟರ್ಮಿನಲ್ ಅನ್‌ಲಾಕ್‌ಗಾಗಿ 4 ರಿಂದ 8 ಅಂಕೆಗಳ ಪಿನ್ ಬಳಸಿ.
Use Cashier,ಕ್ಯಾಷಿಯರ್ ಬಳಸಿ
Use date range to search for older invoices,ಹಳೆಯ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಹುಡುಕಲು ದಿನಾಂಕ ಶ್ರೇಣಿಯನ್ನು ಬಳಸಿ
"Use one field for manual code entry, barcode scans, or QR scans.","ಹಸ್ತಚಾಲಿತ ಕೋಡ್ ನಮೂದು, ಬಾರ್‌ಕೋಡ್ ಸ್ಕ್ಯಾನ್‌ಗಳು ಅಥವಾ QR ಸ್ಕ್ಯಾನ್‌ಗಳಿಗಾಗಿ ಒಂದು ಕ್ಷೇತ್ರವನ್ನು ಬಳಸಿ."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS ಅನ್ನು ಬಿಡದೆಯೇ ಬ್ಯಾಲೆನ್ಸ್ ಚೆಕ್‌ಗಳು, ಹೊಸ ವಿತರಣೆ ಮತ್ತು ಟಾಪ್ ಅಪ್‌ಗಳಿಗಾಗಿ ಒಂದು ವರ್ಕ್‌ಫ್ಲೋ ಬಳಸಿ."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","ಸಂಗ್ರಹಿಸಿದ ಪೂರ್ವಾಪೇಕ್ಷಿತ ಡೇಟಾಗೆ ರಿಫ್ರೆಶ್, ಮರುನಿರ್ಮಾಣ ಅಥವಾ ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್ ಪರಿಶೀಲನೆಯ ಅಗತ್ಯವಿರುವಾಗ ಈ ವಿಭಾಗವನ್ನು ಬಳಸಿ."
Use Western numerals,ಪಾಶ್ಚಾತ್ಯ ಅಂಕಿಗಳನ್ನು ಬಳಸಿ
Used:,ಬಳಸಲಾಗಿದೆ:
Using basic camera settings due to device limitations,ಸಾಧನದ ಮಿತಿಗಳ ಕಾರಣದಿಂದಾಗಿ ಮೂಲ ಕ್ಯಾಮರಾ ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಬಳಸುವುದು
Using cached customer balance,ಸಂಗ್ರಹಿಸಲಾದ ಗ್ರಾಹಕ ಸಮತೋಲನವನ್ನು ಬಳಸುವುದು
Valid until,ತನಕ ಮಾನ್ಯವಾಗಿರುತ್ತದೆ
Variance %,ವ್ಯತ್ಯಾಸ %
Variants,ರೂಪಾಂತರಗಳು
Variant-wise,ಭಿನ್ನ-ವಾರು
Verify closing amounts for each payment method,ಪ್ರತಿ ಪಾವತಿ ವಿಧಾನಕ್ಕೆ ಮುಕ್ತಾಯದ ಮೊತ್ತವನ್ನು ಪರಿಶೀಲಿಸಿ
View all,ಎಲ್ಲವನ್ನೂ ವೀಕ್ಷಿಸಿ
View app information and current build details,ಅಪ್ಲಿಕೇಶನ್ ಮಾಹಿತಿ ಮತ್ತು ಪ್ರಸ್ತುತ ನಿರ್ಮಾಣ ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View Data Diagnostics,ಡೇಟಾ ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್ ಅನ್ನು ವೀಕ್ಷಿಸಿ
View Details,ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View invoice details,ಸರಕುಪಟ್ಟಿ ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View notifications,ಅಧಿಸೂಚನೆಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View offline invoices,ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View restricted POS insights,ನಿರ್ಬಂಧಿತ POS ಒಳನೋಟಗಳನ್ನು ವೀಕ್ಷಿಸಿ
Void Amount,ಅನೂರ್ಜಿತ ಮೊತ್ತ
Void Count,ಶೂನ್ಯ ಎಣಿಕೆ
Voids,ಶೂನ್ಯಗಳು
Waiting for cart items,ಕಾರ್ಟ್ ಐಟಂಗಳಿಗಾಗಿ ಕಾಯಲಾಗುತ್ತಿದೆ
Waiting for payment...,ಪಾವತಿಗಾಗಿ ನಿರೀಕ್ಷಿಸಲಾಗುತ್ತಿದೆ...
Walk-in Customer,ವಾಕ್-ಇನ್ ಗ್ರಾಹಕ
Warehouse,ಉಗ್ರಾಣ
Warning: High cache usage may affect performance.,ಎಚ್ಚರಿಕೆ: ಹೆಚ್ಚಿನ ಸಂಗ್ರಹ ಬಳಕೆಯು ಕಾರ್ಯಕ್ಷಮತೆಯ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರಬಹುದು.
Warning: High lag may indicate heavy processing or browser slowness.,ಎಚ್ಚರಿಕೆ: ಹೆಚ್ಚಿನ ವಿಳಂಬವು ಭಾರೀ ಸಂಸ್ಕರಣೆ ಅಥವಾ ಬ್ರೌಸರ್ ನಿಧಾನತೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.
Week ?,ವಾರ ?
Week-wise,ವಾರವಾರು
Weight (g),ತೂಕ (ಗ್ರಾಂ)
Weight (grams),ತೂಕ (ಗ್ರಾಂ)
We'll let you know if an invoice fails to submit,ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಸಲು ವಿಫಲವಾದರೆ ನಾವು ನಿಮಗೆ ತಿಳಿಸುತ್ತೇವೆ
Workflow,ಕೆಲಸದ ಹರಿವು
Write off amount cannot exceed the POS profile maximum of {0},ವಜಾಗೊಳಿಸುವ ಮೊತ್ತವು POS ಪ್ರೊಫೈಲ್ ಗರಿಷ್ಠ {0} ಅನ್ನು ಮೀರಬಾರದು
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,ಅನುಮತಿಸಲಾದ ಮಿತಿಯನ್ನು ({0}) ಮೀರುವ ಮೊತ್ತವನ್ನು ಬರೆಯಿರಿ. ದಯವಿಟ್ಟು ಉಳಿದ ಮೊತ್ತಕ್ಕೆ ಪಾವತಿಯನ್ನು ಸೇರಿಸಿ.
Yes,ಹೌದು
"Yes, Cancel sale","ಹೌದು, ಮಾರಾಟವನ್ನು ರದ್ದುಗೊಳಿಸಿ"
"Yes, Close","ಹೌದು, ಮುಚ್ಚಿ"
You are not allowed to print draft invoices,ಡ್ರಾಫ್ಟ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಮುದ್ರಿಸಲು ನಿಮಗೆ ಅನುಮತಿಯಿಲ್ಲ
You are offline. Add Payment will work again when the connection is restored.,ನೀವು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿದ್ದೀರಿ. ಸಂಪರ್ಕವನ್ನು ಮರುಸ್ಥಾಪಿಸಿದಾಗ ಪಾವತಿಯನ್ನು ಸೇರಿಸಿ ಮತ್ತೆ ಕೆಲಸ ಮಾಡುತ್ತದೆ.
You have no notifications right now,ನೀವು ಇದೀಗ ಯಾವುದೇ ಅಧಿಸೂಚನೆಗಳನ್ನು ಹೊಂದಿಲ್ಲ
Your Cart,ನಿಮ್ಮ ಕಾರ್ಟ್
